product_id,timestamp,amount
1,2025-01-02,23.45
2,2025-01-03,34.56
3,2025-01-04,45.67
4,2025-01-05,56.78
1,2025-01-06,67.89
2,2025-01-07,78.90
3,2025-01-08,89.01
4,2025-01-09,12.34
1,2025-01-10,23.45
2,2025-01-11,34.56
3,2025-01-12,45.67
4,2025-01-13,56.78
1,2025-01-14,67.89
2,2025-01-15,78.90
3,2025-01-16,89.01
4,2025-01-17,12.34
1,2025-01-18,23.45
2,2025-01-19,34.56
3,2025-01-20,45.67
4,2025-01-21,56.78
1,2025-01-22,67.89
2,2025-01-23,78.90
3,2025-01-24,89.01
4,2025-01-25,12.34
1,2025-01-26,23.45
2,2025-01-27,34.56
3,2025-01-28,45.67
4,2025-01-29,56.78
1,2025-01-30,67.89
2,2025-01-31,78.90
3,2025-02-01,89.01
4,2025-02-02,12.34
1,2025-02-03,23.45
2,2025-02-04,34.56
3,2025-02-05,45.67
4,2025-01-02,56.78
1,2025-01-03,67.89
2,2025-01-04,78.90
3,2025-01-05,89.01
4,2025-01-06,12.34
1,2025-01-07,23.45
2,2025-01-08,34.56
3,2025-01-09,45.67
4,2025-01-10,56.78
1,2025-01-11,67.89
2,2025-01-12,78.90
3,2025-01-13,89.01
4,2025-01-14,12.34
1,2025-01-15,23.45
2,2025-01-16,34.56
3,2025-01-17,45.67
4,2025-01-18,56.78
1,2025-01-19,67.89
2,2025-01-20,78.90
3,2025-01-21,89.01
4,2025-01-22,12.34
1,2025-01-23,23.45
2,2025-01-24,34.56
3,2025-01-25,45.67
4,2025-01-26,56.78
1,2025-01-27,67.89
2,2025-01-28,78.90
3,2025-01-29,89.01
4,2025-01-30,12.34
1,2025-01-31,23.45
2,2025-02-01,34.56
3,2025-02-02,45.67
4,2025-02-03,56.78
1,2025-02-04,67.89
4,2025-02-05,56.78
1,2025-02-05,78.90
2,2025-02-05,78.90
3,2025-02-06,45.67
4,2025-02-07,56.78
1,2025-02-08,78.90
2,2025-02-09,89.01
3,2025-02-10,23.45
4,2025-01-01,34.56
3,2025-01-06,89.01
4,2025-01-07,23.45
1,2025-01-08,34.56
2,2025-01-09,45.67
3,2025-01-10,56.78
4,2025-01-11,67.89
1,2025-01-12,78.90
2,2025-01-13,89.01
3,2025-01-14,23.45
4,2025-01-15,34.56
1,2025-01-16,45.67
2,2025-01-17,56.78
3,2025-01-18,67.89
4,2025-01-19,78.90
1,2025-01-20,89.01
1,2025-01-21,23.45
2,2025-01-22,34.56
3,2025-01-23,45.67
4,2025-01-24,56.78
1,2025-01-25,67.89
2,2025-01-26,78.90
3,2025-01-27,89.01
4,2025-01-28,23.45
1,2025-01-29,34.56
2,2025-01-30,45.67
3,2025-01-31,56.78
4,2025-02-01,67.89
1,2025-02-02,78.90
2,2025-02-03,89.01
3,2025-02-04,23.45

